initial date: 2024-02-17, Fecha actual: 2026-02-17
percentil(%),pendent2y,pendent6m,slope1m,slope6d,volatilitat(%),guany esperat(%),perdua max(%),rsi14,relVol30,etiqueta
18,-0.189,0.037,0.137,-1.357,53,82,-17,35.5,2.19,STZ
86,0.183,0.167,-0.616,-0.887,85,51,-343,25.9,0.99,LMND
93,0.147,0.164,-0.477,1.556,34,6,-44,45.5,-1.00,T12.DU
27,-0.155,0.229,-0.808,-2.846,90,311,-141,14.7,1.27,FTRE
0,0.000,0.000,0.000,0.000,-nan,-1,-1,100.0,-1.00,EBT-USD
6,0.089,-0.456,-1.353,-0.656,39,54,-7,29.0,16.63,1Q5.SG
2,-0.089,-0.278,-2.801,-5.279,48,85,-4,23.9,0.00,ETSY.VI
0,0.002,0.053,-0.728,2.647,100,278,0,39.1,0.00,WIXN.MX
87,0.101,0.249,-0.471,-1.001,47,12,-68,50.0,0.00,RY4D.SG
5,-0.067,-0.447,-0.970,-0.137,69,160,-23,32.4,0.95,ACB
67,-0.119,0.122,1.038,2.204,48,37,-42,70.5,0.96,SMG
0,0.000,0.000,0.000,0.000,48,37,-42,70.5,0.96,CARA
100,0.151,0.113,0.201,0.143,60,3,-141,70.6,1.10,PHIN
17,-0.136,-0.232,-0.461,-0.381,100,686,-63,32.6,1.01,0SZI.L
77,-0.017,0.062,-0.239,-0.871,50,30,-52,46.3,4.08,7CI.F
51,-0.152,-0.069,0.717,1.769,77,220,-36,68.6,0.72,XIFR
96,-0.039,0.751,-0.140,-0.117,65,16,-147,36.9,0.21,ALB-PA
99,0.059,0.535,0.066,0.475,57,8,-116,52.2,-1.00,FDN.MU
47,0.145,-0.373,-0.013,0.605,79,79,-167,59.1,0.00,3CP.MU
3,-0.083,-0.223,-1.199,-0.595,71,186,-19,22.8,0.44,BYSI
0,0.000,0.000,0.000,0.000,71,186,-19,22.8,0.44,2HQ.HM
15,0.044,-0.097,-2.674,-8.594,62,92,-36,18.1,0.30,LY0.F
0,-0.063,-0.650,-0.202,-0.366,69,224,0,9.9,0.01,PINS.MX
0,0.000,0.000,0.000,0.000,69,224,0,9.9,0.01,LV2B.DU
5,0.107,-0.573,-3.098,-2.110,38,44,-13,19.1,0.66,UT8.DE
1,-0.191,-0.187,-0.333,-0.243,95,1563,-21,32.4,0.30,0Q3.DE
20,-0.070,-0.035,-0.210,-3.407,71,138,-46,51.7,0.83,CAVA
96,0.008,0.449,-0.241,0.091,80,24,-294,39.4,0.65,LAR.TO
34,0.002,-0.403,0.464,-2.920,100,72,-44,55.6,0.50,0HRR.L
53,-0.055,-0.121,2.408,1.199,38,21,-33,80.2,11.06,CNHI.VI
19,-0.157,0.014,-1.638,0.905,60,109,-20,41.7,4.29,SDHC
100,0.198,0.148,0.500,0.887,75,0,-298,77.9,0.80,AHR
100,0.142,-0.028,0.679,0.372,55,0,-123,75.3,1.74,NATL
92,-0.073,0.225,2.478,1.335,28,8,-28,73.6,0.54,BAS.DE
2,0.094,-0.415,-1.541,-2.025,42,66,-4,32.4,0.81,SAP.DE
99,0.047,0.323,0.119,-0.170,60,2,-143,44.2,0.38,BAYN.DE
91,0.191,0.152,0.203,-1.838,42,6,-63,50.8,1.85,ALIZY
0,-0.006,0.000,0.000,0.000,100,0,-50,100.0,-1.00,EOANN.MX
53,-0.111,0.430,0.193,-1.539,39,33,-24,54.1,0.59,MBG.DE
89,0.117,-0.197,2.874,4.956,42,9,-58,91.1,1.00,DTE.DE
98,0.175,0.079,0.898,1.597,75,4,-280,57.1,0.80,AS
64,-0.064,0.236,0.273,0.102,37,26,-27,50.0,0.58,VOW3.DE
93,0.130,0.230,0.000,0.000,40,3,-61,100.0,-1.00,RWE.BE
9,-0.040,-0.242,0.000,0.000,37,45,-10,100.0,0.00,ADSN.MX
98,0.069,0.551,0.443,-0.272,100,5,-50,60.7,0.51,DHL.DE
85,0.186,-0.038,-0.000,-0.000,54,4,-110,100.0,-1.00,FSNUF
81,-0.097,0.034,2.527,4.702,24,6,-25,91.7,0.00,HEN3.MU
43,0.122,-0.316,0.037,2.065,39,37,-21,55.8,0.89,DB1.F
90,0.146,0.077,0.344,-1.692,79,25,-276,46.4,0.00,TKA.HA
99,0.076,0.476,0.095,0.481,45,1,-81,56.3,0.00,IFX.DU
86,0.011,0.430,0.849,0.136,40,16,-44,66.3,0.53,SDF.DE
84,0.190,0.109,-0.111,-2.708,74,17,-234,28.6,0.60,CRZBF
60,-0.149,0.434,-0.283,3.430,40,31,-26,50.1,0.83,MKGAF
32,-0.177,0.054,0.576,1.002,36,25,-26,73.4,0.47,BDRFY
84,0.070,0.176,1.861,1.256,34,6,-42,76.4,0.47,CON.DE
16,-0.084,-0.293,0.704,0.181,52,57,-32,76.1,0.09,LXS.F
39,-0.060,-0.558,0.731,2.886,50,57,-28,75.0,8.81,BOSSY
84,0.116,0.477,0.000,-0.000,37,7,-47,100.0,-1.00,ACR.BE
98,0.159,0.278,0.262,-0.396,34,4,-46,48.3,0.00,XCA.SG
0,0.000,0.000,0.000,0.000,34,4,-46,48.3,0.00,US0091262024.SG
87,0.149,0.068,-0.838,0.881,43,12,-56,46.6,0.96,AIR.PA
99,0.167,0.329,0.203,0.085,62,2,-154,72.7,0.00,ALSO.VI
96,-0.003,0.066,2.024,-0.378,100,13,-55,57.6,1.12,ALCTL.IS
72,0.177,-0.054,0.305,3.089,29,10,-27,70.0,0.10,BSN.F
98,0.147,0.178,0.186,-0.509,42,3,-67,53.6,0.01,BNP.VI
86,-0.128,0.570,2.318,2.721,30,8,-31,85.6,2.02,0NPH.IL
26,-0.180,0.244,0.000,-0.000,48,59,-20,100.0,-1.00,CGM.BE
100,0.116,0.132,2.947,0.232,29,0,-41,83.6,0.55,SQU.F
0,0.000,0.000,0.000,0.000,29,0,-41,83.6,0.55,ELP.XD
97,0.125,0.238,0.527,-0.000,44,0,-79,100.0,0.00,BOUYF
0,0.000,0.000,0.000,0.000,44,0,-79,100.0,0.00,TTEN.MX
99,0.019,0.331,0.829,0.277,49,1,-93,61.2,0.00,0RH5.IL
99,0.165,0.326,0.191,0.040,56,1,-126,60.4,1.04,ENGQF
0,0.000,0.000,0.000,0.000,56,1,-126,60.4,1.04,KERP.XD
100,0.144,-0.010,0.487,2.107,48,0,-93,83.0,0.00,LGRVF
0,0.123,-0.080,-0.518,-13.183,100,56,-27,8.8,0.00,^CLTBLOUIS
100,0.159,0.226,0.195,0.062,66,4,-179,69.8,0.58,MTS.MC
57,-0.082,-0.055,0.382,0.113,30,20,-20,51.3,0.96,ORP.XC
0,-0.146,0.115,-1.304,-2.161,33,49,0,27.6,0.29,PU41.F
2,-0.192,-0.320,-0.266,-0.000,54,117,-1,0.0,0.00,RIP.XC
5,-0.128,-0.055,-0.017,1.007,43,66,-6,54.5,0.28,RNL.DE
100,0.184,0.145,0.124,0.487,44,0,-78,64.2,1.07,SEJ1.DE
1,-0.105,-0.114,0.227,-2.025,30,42,-1,44.0,0.00,SNW.HM
64,0.129,-0.285,1.799,1.177,38,18,-36,65.8,-1.00,GOB.HA
31,-0.089,-0.097,1.095,4.204,42,40,-23,65.5,0.00,SOL.DU
97,0.063,0.297,3.051,0.140,31,6,-38,74.4,0.82,SU.PA
0,0.000,0.000,0.000,0.000,31,6,-38,74.4,0.82,UNIRF
100,0.047,0.421,2.469,0.509,22,0,-29,87.8,0.00,VVD.HA
57,0.145,-0.444,0.134,3.865,69,110,-52,72.2,0.00,VVVNF
90,0.152,0.183,-0.437,-2.065,45,6,-71,37.5,0.82,0MHJ.IL
0,0.000,0.000,0.000,0.000,45,6,-71,37.5,0.82,BPEM.XD
73,0.177,0.222,-0.390,-0.232,43,16,-53,40.1,1.93,BZUM.XC
0,-0.083,-0.331,0.803,-8.819,100,330,-10,50.0,0.00,STLAPP.XC
96,0.179,0.116,-0.423,0.294,68,7,-195,43.4,0.35,LDO.VI
90,0.192,0.122,0.000,0.000,46,0,-85,100.0,-1.00,ARZGF
0,-0.195,0.000,0.000,0.000,100,13,-24,100.0,-1.00,LUX
27,-0.073,0.217,0.166,3.472,34,38,-10,52.9,-1.00,MOV0.F
0,0.000,0.000,0.000,0.000,34,38,-10,52.9,-1.00,MFEAM.XD
100,0.181,0.183,0.196,0.130,67,0,-206,71.1,2.52,TQI.F
100,0.178,0.264,0.571,0.283,27,0,-38,82.0,-1.00,TRN.VI
28,-0.096,-0.025,0.343,-0.517,100,1843,-32,58.3,-1.00,^CLTBAZUKI
100,0.193,0.197,0.165,0.045,65,0,-182,62.9,1.13,ACS.MC
89,0.160,0.086,0.000,0.000,50,8,-85,100.0,-1.00,AJ3.BE
92,0.168,0.194,-0.132,-0.876,65,15,-146,34.2,4.40,BBVA
88,0.185,0.176,-0.241,-2.779,62,9,-140,33.8,0.71,BKT.MC
92,0.132,0.769,0.216,-0.590,100,10,-131,41.7,0.93,BYMAD.BA
92,0.191,0.197,-0.060,-1.813,65,13,-150,38.2,0.96,CABK.MC
96,0.192,0.223,0.715,-0.370,51,3,-98,58.8,0.89,ELE.MC
100,0.001,0.339,2.616,1.252,23,0,-29,95.0,1.39,ENG.MC
48,-0.097,0.033,1.228,0.984,41,33,-29,61.2,0.07,0HAA.IL
99,0.189,0.186,0.354,-0.095,47,3,-82,63.0,1.64,FER.AS
69,0.161,-0.153,0.643,-1.723,30,7,-33,45.8,0.86,NTGY.MC
80,0.126,-0.204,0.583,-0.000,51,14,-80,0.0,0.00,GIKLY
52,0.177,-0.120,-2.270,-0.593,86,94,-257,16.8,1.25,RDDT
100,0.189,0.254,0.298,0.196,48,0,-92,97.5,0.66,IBE.MC
96,0.171,0.254,-0.237,0.298,77,13,-280,40.0,0.32,ISMAY
98,0.067,0.740,0.447,-0.028,32,1,-44,65.5,1.38,0QWI.IL
81,0.190,0.076,-0.238,-1.179,55,12,-98,49.2,0.59,MAP.MC
