initial date: 2024-02-14, Fecha actual: 2026-02-14
percentil(%)  -  pendent anual  - volatilitat(%) - guany esperat(%) - etiqueta 
55,0.041,79,107,-135,GME
100,0.174,100,0,-65,0HVF.L
11,0.079,41,49,-14,SA8A.DU
12,-0.037,59,94,-26,CHTR.MX
98,0.135,100,5,-53,0I4X.L
100,0.013,64,0,-180,AMAT
89,0.162,44,1,-77,RF6.BE
26,0.081,29,27,-10,RPU.BE
95,0.064,37,4,-53,UHS
78,0.111,35,9,-41,DDN.F
99,0.038,44,4,-74,SD5.F
100,0.118,100,0,-154,0LD9.L
81,-0.023,59,30,-87,DT3.SG
3,-0.130,89,460,-67,PVGB.F
0,0.011,100,19,-31,BALL.MX
49,-0.121,35,23,-25,MSQ.DU
93,0.011,100,5,-61,0RT6.L
8,-0.148,48,63,-18,BOX.F
8,-0.168,52,89,-11,CSC.SG
0,0.075,35,53,0,E6Z.DU
49,-0.070,47,26,-49,VS51.SG
84,0.026,72,30,-171,DEH.F
96,-0.038,32,2,-45,DOV.MU
100,0.090,60,1,-150,BGW.MU
95,0.160,40,6,-58,3U6.DU
51,-0.152,61,61,-58,MUQ.DU
8,-0.168,61,126,-12,PVH.F
23,-0.089,44,45,-24,HO2.BE
35,-0.165,45,46,-24,WHC.DU
100,0.180,69,1,-219,FTI
0,0.000,69,1,-219,SPTN
99,0.129,55,4,-115,WP7.F
99,0.166,57,5,-122,QAA.F
78,-0.047,40,23,-35,MHK
27,-0.149,50,69,-19,LNN.F
96,-0.002,45,4,-75,SEE
94,0.057,25,3,-29,NWJ.F
99,0.179,34,1,-50,CCEP
36,-0.170,57,85,-25,AHT.F
100,0.161,35,1,-52,QDI.F
99,0.172,75,4,-282,NEWM.VI
67,0.159,37,13,-40,OM6.HM
100,0.194,57,0,-135,CASY
36,-0.093,18,14,-6,CMS-PB
0,0.000,18,14,-6,WOO.BE
98,0.006,50,5,-92,CMS.F
79,0.135,45,13,-60,3LN.MU
15,-0.043,38,42,-14,DSG.SG
99,0.089,55,2,-116,OSK
13,-0.190,81,337,-18,DG3.BE
0,0.000,81,337,-18,SPR
97,0.165,77,6,-317,UN3.MU
96,0.005,71,13,-211,PBE.DU
74,-0.017,46,28,-45,2WZ.F
92,0.100,57,15,-105,DL7A.MU
29,-0.157,100,57,-19,0JSJ.L
10,0.034,38,49,-9,GEN.PR
26,-0.087,100,329414,-5,^CLTBPUDGY
51,0.134,46,0,-84,R1.MX
91,0.145,49,9,-80,ROK
4,-0.127,54,87,-16,NCR1.DU
90,0.040,38,13,-42,EXPD
96,0.076,37,5,-51,FFH.DU
96,0.161,40,4,-59,NOU.MU
100,0.177,69,1,-222,EME
0,-0.171,51,103,0,K6B.F
91,-0.006,40,11,-50,AVY.BA
8,-0.075,49,54,-26,NTA.DU
92,0.154,76,5,-296,J5A.BE
86,0.184,65,30,-121,SAYN.SG
5,-0.156,46,80,-2,SWG0.F
93,0.139,35,7,-44,AE4.F
1,-0.038,41,59,-7,MTT.MU
42,-0.142,52,42,-48,H221.SG
11,-0.032,38,51,-7,AWG.SG
87,0.031,35,14,-35,PKA.F
97,0.028,100,5,-54,0KS6.L
51,-0.118,59,62,-52,JBLU.MX
14,-0.152,75,177,-47,NWL.SG
100,0.059,69,0,-218,CLMT
64,0.172,66,45,-100,EXPE.MX
20,-0.146,22,22,-6,AFGC
63,0.133,39,16,-41,URI.MX
24,0.034,45,30,-39,INGR.MX
55,-0.055,21,10,-15,JSM
24,-0.139,49,54,-27,CXX.SG
84,0.149,35,12,-38,ORJ.SG
81,0.020,69,29,-146,AMD.F
14,-0.134,50,68,-18,IQVH.VI
78,0.096,100,19,-67,0QYK.L
0,-0.181,100,10,0,ZIPIMX
90,0.090,15,2,-15,RF-PC
29,0.065,40,45,-15,LMO.MU
0,-0.121,56,118,-5,CRM.VI
73,0.079,58,56,-54,ALK.MU
92,-0.078,40,6,-57,HST
97,0.181,69,13,-182,APH
0,0.005,100,0,-515,04M.F
0,0.000,100,0,-515,0J2X.L
93,0.147,44,8,-65,WD5A.DU
1,0.059,39,62,-2,SPGI.MX
2,-0.199,100,1813233,-200,BIGGQ
82,0.157,33,14,-31,MKV.SG
73,0.181,59,21,-104,LDOS.MX
0,-0.085,78,352,-1,FISV.VI
7,-0.088,37,47,-8,AB4.F
12,-0.185,40,52,-10,SNS.BE
98,0.145,46,4,-77,LHX
92,0.108,100,7,-32,TDS-PU
82,0.138,31,8,-35,WIC.F
0,-0.008,100,2,-0,RJF-PB
0,0.000,100,2,-0,BERY
91,0.170,100,6,-47,0HYE.L
98,0.174,33,1,-48,AEO.F
initial date: 2024-02-14, Fecha actual: 2026-02-14
percentil(%)  -  pendent anual  - volatilitat(%) - guany esperat(%) - etiqueta 
initial date: 2024-02-14, Fecha actual: 2026-02-14
percentil(%)  -  pendent anual  - volatilitat(%) - guany esperat(%) - etiqueta 
